Date,Site,Price
2021-06-10 21:20,Tcg Player Market,$�39.95
2021-06-11 07:23,Tcg Player Market,$ 39.95
2021-06-11 11:43,Tcg Player Market,$ 41.88
2021-06-11 15:54,Tcg Player Market,$ 41.88
2021-06-12 09:32,Tcg Player Market,$ 40.75
2021-06-12 10:56,Tcg Player Market,$ 40.75
2021-06-12 16:28,Tcg Player Market,$ 40.75
2021-06-12 19:49,Tcg Player Market,$ 40.75
2021-06-13 08:17,Tcg Player Market,$ 40.75
2021-06-13 12:06,Tcg Player Market,$ 40.36
2021-06-13 18:46,Tcg Player Market,$ 40.36
2021-06-14 09:00,Tcg Player Market,$ 40.03
2021-06-14 12:00,Tcg Player Market,$ 40.03
2021-06-14 15:00,Tcg Player Market,$ 40.03
2021-06-15 18:00,Tcg Player Market,$ 39.85
2021-06-15 21:00,Tcg Player Market,$ 39.85
2021-06-16 09:00,Tcg Player Market,$ 39.34
2021-06-16 12:00,Tcg Player Market,$ 39.34
2021-06-16 15:00,Tcg Player Market,$ 39.34
2021-06-16 18:00,Tcg Player Market,$ 39.34
2021-06-17 09:00,Tcg Player Market,$ 39.34
2021-06-17 13:14,Tcg Player Market,$ 40.01
2021-06-17 15:00,Tcg Player Market,$ 40.01
2021-06-17 21:00,Tcg Player Market,$ 40.01
2021-06-18 09:00,Tcg Player Market,$ 40.01
2021-06-18 13:05,Tcg Player Market,$ 40.37
2021-06-18 15:00,Tcg Player Market,$ 40.37
2021-06-18 18:00,Tcg Player Market,$ 40.37
2021-06-19 09:00,Tcg Player Market,$ 40.58
2021-06-19 13:21,Tcg Player Market,$ 40.58
2021-06-19 15:33,Tcg Player Market,$ 40.58
2021-06-19 18:00,Tcg Player Market,$ 40.58
2021-06-20 09:00,Tcg Player Market,$ 40.58
2021-06-20 12:00,Tcg Player Market,$ 41.55
2021-06-20 15:00,Tcg Player Market,$ 41.55
2021-06-21 09:00,Tcg Player Market,$ 41.55
